question,option1,option2,option3,option4,answerIndex,explanation
"傾きが急なところでの雨水はどんな働きをしますか？","地面を削り土砂を運ぶ","土砂を積もらせる","水が逆流する","何もしない",0,"急な斜面では水が速く流れ、地面を削って土砂を運びます。"
"傾きがなだらかなところでの雨水はどんな働きをしますか？","地面を削る働きが強い","土砂を積もらせる働きが強い","逆方向に流れる","水が消える",1,"傾斜がゆるやかなほど流れが遅くなり、土砂を積もらせます。"
"流水実験器の傾きを大きくすると、できる溝はどう変化しますか？","浅く狭くなる","深く大きくなる","まったく変わらない","途中で止まる",1,"傾斜が急だと水の勢いが増し、溝が深く大きく削られます。"
"流水実験器の傾きを大きくすると流れの速さはどうなりますか？","遅くなる","変わらない","速くなる","止まる",2,"傾斜が急ほど水の流れは速くなります。"
"流水実験器の下に置いた水そうには何が積もりますか？","水だけ","砂や泥","大きな石だけ","何も積もらない",1,"川の流れが遅くなるところに砂や泥が堆積します。"
"流水実験器の水の量を多くすると、できる溝はどうなりますか？","小さくなる","変わらない","大きくなる","消える",2,"水量が多いほど流れのエネルギーが大きくなり、溝はより深く大きくなります。"
"流水実験器の水の量を多くすると流れはどう変化しますか？","遅くなる","変わらない","速くなる","渦を巻く",2,"水量が増えるほど流れも速くなる傾向があります。"
"流水実験器でできた曲がった溝の外側と内側のうち、どちらが強く削られますか？","内側","外側","両方同じ","削られない",1,"カーブの外側ほど流れが速く、強く削られます。"
"流水実験器でできた曲がった溝の内側には何が積もりますか？","岩石のかたまり","砂や泥","大きな木","何も積もらない",1,"カーブの内側は流れが遅く、砂や泥が堆積します。"
"まっすぐ流れている川の流れは岸と中央付近のどちらが速いですか？","岸の方が速い","中央付近の方が速い","両方同じ","場所によって常に違う",1,"まっすぐな川では中央部が最も流速が大きくなります。"
"まっすぐ流れている川の深さは岸と中央付近ではどちらが深いですか？","岸の方が深い","中央付近の方が深い","両方同じ深さ","場所によって常に変わる",1,"中央付近の方が深いことが多いです。"
"曲がって流れている川の流れは外側と内側のどちらが速いですか？","内側","外側","ほぼ同じ","どちらも非常に遅い",1,"カーブの外側では流れが速くなります。"
"曲がって流れている川の深さは外側と内側のどちらが深いですか？","内側","外側","ほぼ同じ","どちらも浅い",1,"外側ほど削られるため深くなります。"
"曲がって流れている川で砂や砂利がたまるのは外側と内側のどちらですか？","外側","内側","両方同じ","全くたまらない",1,"内側は流れが遅く、砂や砂利が堆積します。"
"川の上流では水の流れにどんな特徴がありますか？","流れが遅い","流れが速い","流れが止まっている","氷になっている",1,"上流は傾斜が急なため、水の流れが速いです。"
"川の上流に残る石はどのようなものが多いですか？","非常に小さい石","丸く削られた小石","大きく角ばった石","砂ばかり",2,"上流には大きく角ばった石が残りやすいです。"
"土砂が運ばれるうちにぶつかり合うと石はどのようになりますか？","さらに角ばる","大きくなる","小さく丸みを帯びる","消滅する",2,"流されながら互いにぶつかり、小さく丸くなっていきます。"
"川岸や川底を削り取る働きを何といいますか？","運搬作用","堆積作用","浸食作用","吸収作用",2,"水の流れで川岸などを削る働きは“浸食作用”です。"
"削り取られた土砂を運ぶ働きを何といいますか？","浸食作用","運搬作用","堆積作用","侵入作用",1,"削り取った土砂を運ぶのが“運搬作用”です。"
"運ばれた土砂を川底や河口に積もらせる働きを何といいますか？","侵食作用","運搬作用","堆積作用","凝固作用",2,"流れが遅くなる場所で土砂を積もらせるのは“堆積作用”です。"
"川の上流での浸食作用は大きいですか小さいですか？","とても小さい","大きい","全くない","上流では運搬のみ",1,"上流は流れが強いので、浸食作用も大きいです。"
"川の上流での運搬作用は大きいですか小さいですか？","小さい","大きい","全くない","下流よりも小さい",1,"流速が速い分、大きな石などを運搬する力が大きいです。"
"川の上流での堆積作用は大きいですか小さいですか？","大きい","小さい","全くない","大きすぎて流れない",1,"上流は流れが速く、あまり土砂を積もらせないため堆積作用は小さいです。"
"川の水の流れを利用して回転する装置を何といいますか？","風車","水車","歯車","車輪",1,"流れる水のエネルギーで回る装置を“水車”といいます。"
"流れる水を利用した発電方法を何といいますか？","火力発電","水力発電","風力発電","地熱発電",1,"ダムなどで川の水を利用するのが水力発電です。"
"水力発電は他の発電方法と比べてどんな点に優れていますか？","燃料がたくさん要る","二酸化炭素の排出が少ない","巨大な排気ガスが出る","自然破壊が激しい",1,"水力発電はCO₂排出量が少なく、クリーンなエネルギー源とされています。"
