question,option1,option2,option3,option4,answerIndex,explanation
水が自然に空気中に出ていくことを何と言いますか？,蒸発,蒸発した水がついたから,高い時,空気中に出ていったから,0,正解は「蒸発」です。
ふたをしていないコップの水が減ったのはなぜですか？,蒸発,蒸発した水がついたから,高い時,空気中に出ていったから,3,正解は「空気中に出ていったから」です。
ラップの内側に水が付いていたのはなぜですか？,高い時,蒸発した水がついたから,蒸発,空気中に出ていったから,1,正解は「蒸発した水がついたから」です。
水が蒸発しやすいのは温度が低い時ですか高い時ですか？,空気中に出ていったから,蒸発,高い時,蒸発した水がついたから,2,正解は「高い時」です。
水が激しく沸き立つ時何がたくさん出てきますか？,空気中に出ていったから,蒸発した水がついたから,蒸発,泡,3,正解は「泡」です。
水を熱すると気体になります。この気体を何と言いますか？,空気中に出ていったから,蒸発,水蒸気,蒸発した水がついたから,2,正解は「水蒸気」です。
水蒸気が冷やされると何になりますか？,空気中に出ていったから,蒸発した水がついたから,蒸発,水,3,正解は「水」です。
湯気が消えるのはなぜですか？,蒸発した水がついたから,蒸発,空気中に出ていったから,水蒸気に変わったから,3,正解は「水蒸気に変わったから」です。
水を熱して出てくる泡を試験管に集めて冷やすと何が溜まりますか？,水,空気中に出ていったから,蒸発,蒸発した水がついたから,0,正解は「水」です。
水の温度が100度で変わらないのはなぜですか？,空気中に出ていったから,水を水蒸気に変える熱に使われるから,蒸発した水がついたから,蒸発,1,正解は「水を水蒸気に変える熱に使われるから」です。
水が沸き始めることを何と言いますか？,蒸発,沸騰,蒸発した水がついたから,空気中に出ていったから,1,正解は「沸騰」です。
水が沸騰し始める温度を何と言いますか？,空気中に出ていったから,蒸発した水がついたから,蒸発,沸点,3,正解は「沸点」です。
湯気が白く見えるのは何が集まったからですか？,小さな水の粒,空気中に出ていったから,蒸発した水がついたから,蒸発,0,正解は「小さな水の粒」です。
細かく砕いた氷に食塩を混ぜるとどうなりますか？,温度が大きく下がる,蒸発,蒸発した水がついたから,空気中に出ていったから,0,正解は「温度が大きく下がる」です。
氷の温度を下げるために使うものを何と言いますか？,空気中に出ていったから,蒸発した水がついたから,蒸発,食塩,3,正解は「食塩」です。
水が凍り始める温度は何度ですか？,蒸発した水がついたから,蒸発,0度,空気中に出ていったから,2,正解は「0度」です。
水が全て氷になるまで温度はどうなりますか？,蒸発,0度のまま,空気中に出ていったから,蒸発した水がついたから,1,正解は「0度のまま」です。
水が全て氷になった後温度はどうなりますか？,下がる,蒸発した水がついたから,蒸発,空気中に出ていったから,0,正解は「下がる」です。
氷は何度で溶け始めますか？,0度,空気中に出ていったから,蒸発した水がついたから,蒸発,0,正解は「0度」です。
氷が全て溶け終わるまでは温度はどうなりますか？,空気中に出ていったから,蒸発,蒸発した水がついたから,0度のまま,3,正解は「0度のまま」です。
氷が溶け終わった後の温度はどうなりますか？,蒸発した水がついたから,上がる,蒸発,空気中に出ていったから,1,正解は「上がる」です。
氷が溶け始める時の温度を何と言いますか？,空気中に出ていったから,融点,蒸発,蒸発した水がついたから,1,正解は「融点」です。
100度の水が水蒸気になると体積は何倍になりますか？,1600倍,蒸発した水がついたから,空気中に出ていったから,蒸発,0,正解は「1600倍」です。
0度の水が0度の氷になると体積は何倍になりますか？,蒸発した水がついたから,蒸発,約1.1倍,空気中に出ていったから,2,正解は「約1.1倍」です。
氷のように形が決まっている姿を何と言いますか？,蒸発,蒸発した水がついたから,固体,空気中に出ていったから,2,正解は「固体」です。
水のように一定のかさはあるが形が決まっていない姿を何と言いますか？,液体,蒸発,蒸発した水がついたから,空気中に出ていったから,0,正解は「液体」です。
水蒸気のように形もかさも決まっていない姿を何と言いますか？,蒸発した水がついたから,気体,蒸発,空気中に出ていったから,1,正解は「気体」です。
海や川や地面から出て空気中に含まれる水の気体を何と言いますか？,蒸発した水がついたから,空気中に出ていったから,水蒸気,蒸発,2,正解は「水蒸気」です。
水蒸気が冷やされて小さな水や氷の粒になると何になりますか？,空気中に出ていったから,雲,蒸発した水がついたから,蒸発,1,正解は「雲」です。
雲の粒が大きくなるとどうなりますか？,蒸発した水がついたから,雨や雪になる,蒸発,空気中に出ていったから,1,正解は「雨や雪になる」です。
陸地に戻った水はやがてどこに注ぎ込まれますか？,蒸発,海,空気中に出ていったから,蒸発した水がついたから,1,正解は「海」です。
